,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.738 [0.643, 0.828]","0.394 [0.277, 0.576]","23.000 [14.000, 43.500]","0.174 [0.119, 0.242]"
STABL ALasso,"0.723 [0.620, 0.820]","0.409 [0.274, 0.609]","25.000 [14.750, 47.250]","0.167 [0.105, 0.238]"
STABL XGBoost,"0.709 [0.611, 0.798]","0.379 [0.260, 0.543]","12.000 [8.000, 16.250]","0.214 [0.143, 0.300]"
