,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.670 [0.559, 0.777]","0.346 [0.240, 0.506]","11.000 [5.750, 20.000]","0.167 [0.100, 0.250]"
STABL ALasso,"0.653 [0.537, 0.761]","0.328 [0.234, 0.475]","12.000 [7.000, 25.000]","0.162 [0.091, 0.244]"
STABL XGBoost,"0.655 [0.543, 0.752]","0.301 [0.212, 0.433]","5.500 [3.750, 9.000]","0.143 [0.056, 0.250]"
