,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
IL246_Baso_149Sm_CREB,0.0,0.0,0.0,0.0,0.001,0.0,0.021,0.003,0.401,0.158
IL246_Baso_151Eu_p38,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.006,0.489,0.236
IL246_Baso_155Gd_S6,0.0,0.0,0.02,0.0,0.108,0.034,0.19,0.104,0.52,0.334
IL246_Baso_159Tb_MAPKAPK2,0.0,0.0,0.014,0.0,0.131,0.036,0.3,0.155,0.682,0.492
IL246_Baso_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.006,0.357,0.154
IL246_Baso_166Er_NFkB,0.0,0.0,0.001,0.0,0.023,0.005,0.099,0.033,0.507,0.272
IL246_Bcells_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.002,0.366,0.167
IL246_Bcells_150Nd_STAT5,0.0,0.0,0.0,0.0,0.224,0.053,0.575,0.393,0.816,0.712
IL246_Bcells_151Eu_p38,0.0,0.0,0.0,0.0,0.011,0.001,0.071,0.017,0.476,0.257
IL246_Bcells_154Sm_STAT3,0.0,0.0,0.003,0.0,0.135,0.056,0.322,0.183,0.668,0.496
IL246_Bcells_155Gd_S6,0.0,0.0,0.042,0.0,0.262,0.111,0.437,0.266,0.719,0.565
IL246_Bcells_159Tb_MAPKAPK2,0.0,0.0,0.001,0.0,0.005,0.0,0.088,0.013,0.63,0.356
IL246_Bcells_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.255,0.075
