,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.187,0.051
artificial.2,0.0,0.0,0.004,0.0,0.02,0.003,0.058,0.015,0.553,0.31
artificial.3,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.001,0.485,0.251
artificial.4,0.0,0.0,0.0,0.0,0.001,0.0,0.017,0.002,0.404,0.181
artificial.5,0.0,0.0,0.0,0.0,0.071,0.003,0.299,0.117,0.685,0.513
artificial.6,0.0,0.0,0.02,0.001,0.026,0.003,0.112,0.027,0.46,0.275
artificial.7,0.0,0.0,0.0,0.0,0.004,0.001,0.024,0.003,0.345,0.14
artificial.8,0.0,0.0,0.0,0.0,0.075,0.015,0.184,0.075,0.556,0.34
artificial.9,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.23,0.059
artificial.10,0.0,0.0,0.002,0.0,0.036,0.016,0.14,0.051,0.578,0.374
artificial.11,0.0,0.0,0.0,0.0,0.005,0.001,0.042,0.008,0.423,0.211
artificial.12,0.0,0.0,0.0,0.0,0.073,0.01,0.274,0.145,0.693,0.493
artificial.13,0.0,0.0,0.007,0.0,0.045,0.009,0.218,0.083,0.657,0.46
artificial.14,0.0,0.0,0.004,0.0,0.179,0.061,0.298,0.187,0.596,0.424
artificial.15,0.0,0.0,0.0,0.0,0.002,0.0,0.038,0.004,0.421,0.198
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.397,0.171
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.001,0.3,0.092
artificial.18,0.0,0.0,0.0,0.0,0.007,0.0,0.113,0.036,0.59,0.358
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.002,0.341,0.111
artificial.20,0.0,0.0,0.0,0.0,0.002,0.001,0.026,0.004,0.338,0.126
artificial.21,0.0,0.0,0.01,0.0,0.091,0.032,0.235,0.099,0.654,0.457
artificial.22,0.0,0.0,0.0,0.0,0.002,0.0,0.019,0.002,0.331,0.133
artificial.23,0.0,0.0,0.004,0.0,0.043,0.012,0.114,0.041,0.508,0.299
artificial.24,0.0,0.0,0.0,0.0,0.001,0.0,0.016,0.003,0.402,0.183
artificial.25,0.0,0.0,0.0,0.0,0.003,0.0,0.016,0.004,0.222,0.081
artificial.26,0.0,0.0,0.0,0.0,0.053,0.008,0.183,0.078,0.515,0.32
artificial.27,0.0,0.0,0.0,0.0,0.002,0.001,0.019,0.003,0.419,0.172
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.25,0.072
artificial.29,0.0,0.0,0.014,0.0,0.341,0.126,0.548,0.347,0.785,0.648
artificial.30,0.0,0.0,0.01,0.0,0.155,0.083,0.255,0.155,0.602,0.414
artificial.31,0.0,0.0,0.0,0.0,0.001,0.0,0.126,0.023,0.658,0.405
artificial.32,0.0,0.0,0.0,0.0,0.006,0.0,0.087,0.016,0.469,0.262
artificial.33,0.0,0.0,0.0,0.0,0.113,0.018,0.359,0.175,0.71,0.55
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.279,0.09
artificial.35,0.0,0.0,0.0,0.0,0.001,0.0,0.017,0.001,0.313,0.108
artificial.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.037
artificial.37,0.0,0.0,0.0,0.0,0.234,0.074,0.57,0.397,0.889,0.806
artificial.38,0.0,0.0,0.006,0.0,0.092,0.031,0.258,0.144,0.625,0.431
artificial.39,0.0,0.0,0.0,0.0,0.005,0.0,0.132,0.027,0.483,0.319
artificial.40,0.0,0.0,0.004,0.0,0.081,0.03,0.221,0.102,0.632,0.435
artificial.41,0.0,0.0,0.0,0.0,0.019,0.003,0.128,0.045,0.596,0.356
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.005,0.407,0.218
artificial.43,0.0,0.0,0.0,0.0,0.004,0.0,0.036,0.009,0.383,0.179
artificial.44,0.0,0.0,0.0,0.0,0.004,0.001,0.021,0.003,0.234,0.073
artificial.45,0.0,0.0,0.0,0.0,0.005,0.0,0.034,0.007,0.405,0.169
artificial.46,0.0,0.0,0.042,0.0,0.304,0.13,0.424,0.295,0.705,0.55
artificial.47,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.254,0.071
artificial.48,0.0,0.0,0.001,0.0,0.081,0.016,0.276,0.154,0.603,0.439
artificial.49,0.0,0.0,0.005,0.0,0.025,0.003,0.069,0.027,0.436,0.235
artificial.50,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.2,0.039
artificial.51,0.0,0.0,0.0,0.0,0.091,0.018,0.286,0.125,0.707,0.531
artificial.52,0.0,0.0,0.0,0.0,0.051,0.007,0.246,0.118,0.626,0.432
artificial.53,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.005,0.315,0.095
artificial.54,0.0,0.0,0.001,0.0,0.013,0.004,0.074,0.026,0.46,0.251
artificial.55,0.0,0.0,0.0,0.0,0.034,0.001,0.189,0.082,0.62,0.432
artificial.56,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.182,0.036
artificial.57,0.0,0.0,0.0,0.0,0.002,0.0,0.027,0.005,0.308,0.12
artificial.58,0.0,0.0,0.0,0.0,0.044,0.007,0.202,0.089,0.639,0.422
artificial.59,0.0,0.0,0.004,0.0,0.087,0.018,0.134,0.059,0.443,0.225
artificial.60,0.0,0.0,0.02,0.0,0.173,0.037,0.383,0.205,0.667,0.509
artificial.61,0.0,0.0,0.106,0.004,0.534,0.362,0.704,0.587,0.887,0.803
artificial.62,0.0,0.0,0.004,0.0,0.041,0.007,0.166,0.069,0.584,0.368
artificial.63,0.0,0.0,0.002,0.0,0.064,0.01,0.258,0.115,0.708,0.51
artificial.64,0.0,0.0,0.038,0.0,0.272,0.063,0.538,0.313,0.829,0.726
artificial.65,0.0,0.0,0.0,0.0,0.001,0.0,0.076,0.011,0.54,0.309
artificial.66,0.0,0.0,0.005,0.001,0.08,0.03,0.185,0.099,0.551,0.345
artificial.67,0.0,0.0,0.004,0.0,0.169,0.05,0.337,0.175,0.701,0.515
artificial.68,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.095,0.016
artificial.69,0.0,0.0,0.002,0.0,0.095,0.038,0.193,0.111,0.58,0.363
artificial.70,0.0,0.0,0.0,0.0,0.007,0.0,0.092,0.025,0.574,0.348
artificial.71,0.0,0.0,0.0,0.0,0.024,0.0,0.111,0.035,0.491,0.277
artificial.72,0.0,0.0,0.003,0.0,0.018,0.0,0.059,0.015,0.33,0.137
artificial.73,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.157,0.034
artificial.74,0.0,0.0,0.041,0.0,0.527,0.269,0.673,0.518,0.855,0.755
