,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.422 [0.337, 0.508]","0.367 [0.297, 0.462]","5.000 [3.000, 8.000]","0.000 [0.000, 0.111]"
STABL ALasso,"0.433 [0.352, 0.516]","0.364 [0.294, 0.460]","4.500 [2.000, 6.000]","0.000 [0.000, 0.111]"
STABL XGBoost,"0.566 [0.476, 0.644]","0.504 [0.410, 0.615]","20.000 [12.000, 31.250]","0.185 [0.139, 0.241]"
