,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD56loCD16posNK_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pSTAT5_Unstim,0.119,0.128,0.126,0.139,0.114,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_HLADR_Unstim,0.056,0.021,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pNFkB_Unstim,0.1,0.053,0.019,0.011,0.008,0.001,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pS6_Unstim,0.066,0.05,0.032,0.021,0.003,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pSTAT5_Unstim,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_HLADR_Unstim,0.344,0.323,0.234,0.077,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_Unstim,0.124,0.099,0.091,0.087,0.056,0.004,0.0,0.0,0.0,0.0
CD8Tcm_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pSTAT5_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pNFkB_Unstim,0.87,0.865,0.818,0.73,0.489,0.048,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pS6_Unstim,0.016,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pSTAT3_Unstim,0.034,0.016,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pSTAT5_Unstim,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_HLADR_Unstim,0.089,0.056,0.033,0.017,0.002,0.0,0.0,0.0,0.0,0.0
CD8Teff_pNFkB_Unstim,0.074,0.041,0.022,0.014,0.011,0.0,0.0,0.0,0.0,0.0
CD8Teff_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pSTAT3_Unstim,0.03,0.027,0.029,0.026,0.014,0.001,0.0,0.0,0.0,0.0
CD8Teff_pSTAT5_Unstim,0.225,0.209,0.164,0.105,0.033,0.004,0.0,0.0,0.0,0.0
CD8Tem_HLADR_Unstim,0.162,0.094,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pNFkB_Unstim,0.1,0.038,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pSTAT5_Unstim,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pNFkB_Unstim,0.042,0.019,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pSTAT3_Unstim,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pSTAT5_Unstim,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT5_Unstim,0.013,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_IkB_Unstim,0.555,0.631,0.669,0.65,0.436,0.041,0.0,0.0,0.0,0.0
Granulocytes_pNFkB_Unstim,0.075,0.038,0.019,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pS6_Unstim,0.913,0.897,0.831,0.584,0.207,0.007,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_Unstim,0.158,0.093,0.046,0.016,0.005,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT5_Unstim,0.078,0.062,0.037,0.013,0.003,0.0,0.0,0.0,0.0,0.0
MDSCs_HLADR_Unstim,0.142,0.079,0.038,0.022,0.01,0.0,0.0,0.0,0.0,0.0
MDSCs_pS6_Unstim,0.019,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT3_Unstim,0.03,0.03,0.032,0.034,0.04,0.022,0.0,0.0,0.0,0.0
MDSCs_pSTAT5_Unstim,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_HLADR_Unstim,0.113,0.084,0.059,0.043,0.027,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pNFkB_Unstim,0.027,0.009,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pS6_Unstim,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pSTAT5_Unstim,0.044,0.034,0.041,0.041,0.051,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_HLADR_Unstim,0.067,0.039,0.038,0.042,0.019,0.002,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pNFkB_Unstim,0.046,0.026,0.023,0.019,0.013,0.001,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pSTAT5_Unstim,0.073,0.067,0.028,0.008,0.002,0.0,0.0,0.0,0.0,0.0
NKT_HLADR_Unstim,0.082,0.078,0.062,0.064,0.035,0.001,0.0,0.0,0.0,0.0
NKT_pNFkB_Unstim,0.149,0.097,0.039,0.014,0.004,0.0,0.0,0.0,0.0,0.0
NKT_pS6_Unstim,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT3_Unstim,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT5_Unstim,0.076,0.078,0.075,0.053,0.03,0.001,0.0,0.0,0.0,0.0
NKT_pSTAT6_Unstim,0.166,0.118,0.072,0.01,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_HLADR_Unstim,0.035,0.025,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT1_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT3_Unstim,0.004,0.01,0.006,0.008,0.007,0.002,0.0,0.0,0.0,0.0
cMCs_pSTAT5_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_HLADR_Unstim,0.169,0.146,0.099,0.066,0.03,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_Unstim,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT1_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT3_Unstim,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT5_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_Unstim,0.293,0.209,0.098,0.033,0.011,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_Unstim,0.007,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT5_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_HLADR_Unstim,0.183,0.13,0.065,0.039,0.006,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_Unstim,0.127,0.067,0.015,0.001,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pS6_Unstim,0.05,0.023,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT3_Unstim,0.038,0.014,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT5_Unstim,0.01,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_HLADR_Unstim,0.435,0.371,0.243,0.079,0.007,0.0,0.0,0.0,0.0,0.0
pDCs_pS6_Unstim,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT3_Unstim,0.006,0.007,0.004,0.005,0.003,0.002,0.0,0.0,0.0,0.0
pDCs_pSTAT5_Unstim,0.25,0.193,0.122,0.049,0.009,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
