,ROC AUC,Average Precision,N features
STABL ALasso,"0.584 [0.512, 0.647]","0.525 [0.425, 0.596]","1.000 [1.000, 1.000]"
STABL Lasso,"0.584 [0.512, 0.647]","0.525 [0.425, 0.596]","1.000 [1.000, 1.000]"
STABL XGBoost,"0.654 [0.576, 0.751]","0.665 [0.537, 0.732]","4.000 [4.000, 4.000]"
