,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.96,0.261,0.179,0.089,0.033,0.006,0.0,0.0,0.0,0.0,0.0
artificial.97,0.163,0.125,0.085,0.016,0.0,0.0,0.0,0.0,0.0,0.0
artificial.98,0.26,0.198,0.116,0.044,0.007,0.0,0.0,0.0,0.0,0.0
artificial.99,0.549,0.53,0.456,0.306,0.117,0.004,0.0,0.0,0.0,0.0
artificial.100,0.209,0.131,0.056,0.013,0.0,0.0,0.0,0.0,0.0,0.0
artificial.101,0.547,0.484,0.373,0.162,0.018,0.0,0.0,0.0,0.0,0.0
artificial.102,0.202,0.127,0.053,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.103,0.196,0.128,0.073,0.032,0.006,0.0,0.0,0.0,0.0,0.0
artificial.104,0.174,0.119,0.055,0.01,0.002,0.0,0.0,0.0,0.0,0.0
artificial.105,0.214,0.14,0.077,0.023,0.004,0.001,0.0,0.0,0.0,0.0
artificial.106,0.156,0.098,0.047,0.016,0.001,0.0,0.0,0.0,0.0,0.0
artificial.107,0.218,0.148,0.085,0.04,0.007,0.002,0.0,0.0,0.0,0.0
artificial.108,0.1,0.072,0.032,0.01,0.002,0.001,0.0,0.0,0.0,0.0
artificial.109,0.598,0.528,0.445,0.33,0.149,0.005,0.0,0.0,0.0,0.0
artificial.110,0.323,0.308,0.283,0.227,0.106,0.035,0.0,0.0,0.0,0.0
artificial.111,0.681,0.677,0.625,0.465,0.184,0.046,0.0,0.0,0.0,0.0
artificial.112,0.212,0.187,0.145,0.072,0.008,0.001,0.0,0.0,0.0,0.0
artificial.113,0.356,0.304,0.226,0.13,0.05,0.013,0.0,0.0,0.0,0.0
artificial.114,0.235,0.183,0.142,0.094,0.02,0.0,0.0,0.0,0.0,0.0
artificial.115,0.134,0.058,0.023,0.003,0.001,0.001,0.0,0.0,0.0,0.0
artificial.116,0.167,0.104,0.053,0.032,0.031,0.0,0.0,0.0,0.0,0.0
artificial.117,0.249,0.17,0.094,0.02,0.0,0.0,0.0,0.0,0.0,0.0
artificial.118,0.184,0.141,0.088,0.071,0.051,0.006,0.0,0.0,0.0,0.0
artificial.119,0.227,0.156,0.083,0.014,0.0,0.0,0.0,0.0,0.0,0.0
artificial.120,0.181,0.142,0.098,0.049,0.01,0.002,0.0,0.0,0.0,0.0
artificial.121,0.232,0.157,0.072,0.01,0.0,0.0,0.0,0.0,0.0,0.0
artificial.122,0.211,0.174,0.147,0.088,0.029,0.011,0.0,0.0,0.0,0.0
artificial.123,0.176,0.1,0.057,0.033,0.008,0.0,0.0,0.0,0.0,0.0
artificial.124,0.322,0.221,0.11,0.045,0.006,0.0,0.0,0.0,0.0,0.0
artificial.125,0.277,0.214,0.14,0.066,0.009,0.0,0.0,0.0,0.0,0.0
artificial.126,0.358,0.349,0.305,0.19,0.06,0.022,0.0,0.0,0.0,0.0
artificial.127,0.187,0.137,0.068,0.011,0.0,0.0,0.0,0.0,0.0,0.0
artificial.128,0.354,0.292,0.186,0.089,0.02,0.0,0.0,0.0,0.0,0.0
artificial.129,0.352,0.313,0.254,0.141,0.035,0.01,0.0,0.0,0.0,0.0
artificial.130,0.153,0.105,0.048,0.007,0.0,0.0,0.0,0.0,0.0,0.0
artificial.131,0.174,0.118,0.063,0.015,0.006,0.001,0.0,0.0,0.0,0.0
artificial.132,0.229,0.19,0.123,0.047,0.004,0.0,0.0,0.0,0.0,0.0
artificial.133,0.223,0.144,0.063,0.018,0.001,0.0,0.0,0.0,0.0,0.0
