,R2,RMSE,MAE
STABL Lasso,"0.806 [0.737, 0.860]","14.162 [12.109, 16.287]","10.781 [9.363, 12.317]"
STABL ALasso,"0.806 [0.728, 0.859]","14.151 [11.969, 16.479]","10.771 [9.369, 12.210]"
STABL XGBoost,"0.803 [0.739, 0.852]","14.258 [12.398, 16.134]","11.230 [9.875, 12.695]"
Union STABL Lasso & STABL ALasso,"0.805 [0.734, 0.863]","14.197 [12.064, 16.489]","10.751 [9.370, 12.236]"
Intersect STABL Lasso & STABL ALasso,"0.776 [0.703, 0.832]","15.216 [13.219, 17.171]","11.958 [10.452, 13.466]"
Union STABL Lasso & STABL XGBoost,"0.810 [0.741, 0.862]","14.006 [11.994, 16.198]","10.704 [9.299, 12.154]"
Intersect STABL Lasso & STABL XGBoost,"0.776 [0.697, 0.829]","15.216 [13.222, 17.405]","11.958 [10.533, 13.648]"
Union STABL ALasso & STABL XGBoost,"0.808 [0.734, 0.859]","14.085 [11.966, 16.155]","10.724 [9.389, 12.310]"
Intersect STABL ALasso & STABL XGBoost,"0.776 [0.704, 0.829]","15.216 [13.290, 17.389]","11.958 [10.490, 13.604]"
