,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.369 [0.300, 0.438]","0.357 [0.289, 0.431]","1.000 [0.000, 3.000]","0.000 [0.000, 0.125]"
STABL ALasso,"0.417 [0.342, 0.486]","0.372 [0.299, 0.450]","2.000 [0.000, 4.000]","0.000 [0.000, 0.143]"
STABL XGBoost,"0.425 [0.367, 0.482]","0.382 [0.317, 0.458]","1.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
