,Feature Name
Feature n°1,Stroma_fibroblast_stromal_GranzymeB
Feature n°2,NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB
Feature n°3,NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB
Feature n°4,Macrophages_M1_M2_stromal_GranzymeB
Feature n°5,Dendritic_Cells_CD33+_stromal_GranzymeB
Feature n°6,Dendritic_Cells_CD86CD33dp_stromal_GranzymeB
Feature n°7,aSMA-br_vascular_endothelium_stromal_GranzymeB
Feature n°8,Gland_vascular_endothelium_glandfront_VEGF
