,Feature Name
Feature n°1,CD4_T_cells_CD11b+_stromal_cellfrequency
Feature n°2,Gland_glandular_epithelium_glandfront_cellfrequency
Feature n°3,Gland_glandular_epithelium_intragland_cellfrequency
