,ROC AUC,Average Precision
STABL Lasso,"0.419 [0.338, 0.504]","0.364 [0.295, 0.464]"
STABL XGBoost,"0.564 [0.473, 0.643]","0.507 [0.402, 0.623]"
STABL ALasso,"0.424 [0.342, 0.500]","0.361 [0.292, 0.448]"
Union STABL Lasso & STABL XGBoost,"0.552 [0.465, 0.635]","0.489 [0.388, 0.603]"
Intersect STABL Lasso & STABL XGBoost,"0.452 [0.370, 0.539]","0.391 [0.313, 0.487]"
Union STABL Lasso & STABL ALasso,"0.430 [0.353, 0.513]","0.366 [0.293, 0.461]"
Intersect STABL Lasso & STABL ALasso,"0.413 [0.332, 0.491]","0.363 [0.290, 0.460]"
Union STABL XGBoost & STABL ALasso,"0.556 [0.467, 0.641]","0.484 [0.389, 0.603]"
Intersect STABL XGBoost & STABL ALasso,"0.468 [0.384, 0.554]","0.399 [0.327, 0.487]"
