,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.475 [0.367, 0.591]","0.234 [0.162, 0.367]","16.000 [9.000, 27.250]","0.167 [0.100, 0.243]"
STABL ALasso,"0.504 [0.373, 0.624]","0.243 [0.163, 0.374]","15.000 [9.000, 26.000]","0.158 [0.100, 0.231]"
STABL XGBoost,"0.504 [0.374, 0.636]","0.270 [0.170, 0.383]","2.000 [0.000, 5.000]","0.000 [0.000, 0.143]"
