,ROC AUC,Average Precision
STABL Lasso,"0.903 [0.805, 0.972]","0.759 [0.559, 0.910]"
STABL ALasso,"0.891 [0.785, 0.967]","0.757 [0.525, 0.911]"
STABL ElasticNet,"0.915 [0.841, 0.966]","0.737 [0.519, 0.901]"
Union STABL Lasso & STABL ALasso,"0.914 [0.830, 0.976]","0.773 [0.569, 0.920]"
Intersect STABL Lasso & STABL ALasso,"0.873 [0.758, 0.965]","0.740 [0.531, 0.894]"
Union STABL Lasso & STABL ElasticNet,"0.929 [0.867, 0.980]","0.778 [0.565, 0.924]"
Intersect STABL Lasso & STABL ElasticNet,"0.880 [0.776, 0.964]","0.738 [0.535, 0.907]"
Union STABL ALasso & STABL ElasticNet,"0.918 [0.849, 0.970]","0.743 [0.532, 0.898]"
Intersect STABL ALasso & STABL ElasticNet,"0.886 [0.783, 0.971]","0.747 [0.538, 0.906]"
