,ROC AUC,Average Precision
STABL Lasso,"0.508 [0.434, 0.582]","0.506 [0.431, 0.607]"
STABL XGBoost,"0.552 [0.477, 0.628]","0.557 [0.469, 0.666]"
STABL ALasso,"0.428 [0.371, 0.487]","0.468 [0.403, 0.554]"
Union STABL Lasso & STABL XGBoost,"0.556 [0.477, 0.629]","0.565 [0.474, 0.677]"
Intersect STABL Lasso & STABL XGBoost,"0.395 [0.343, 0.442]","0.449 [0.387, 0.523]"
Union STABL Lasso & STABL ALasso,"0.512 [0.436, 0.583]","0.513 [0.430, 0.601]"
Intersect STABL Lasso & STABL ALasso,"0.435 [0.380, 0.492]","0.471 [0.409, 0.549]"
Union STABL XGBoost & STABL ALasso,"0.543 [0.470, 0.617]","0.547 [0.457, 0.650]"
Intersect STABL XGBoost & STABL ALasso,"0.439 [0.395, 0.482]","0.468 [0.406, 0.543]"
