,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.531 [0.460, 0.602]","0.521 [0.445, 0.621]","1.500 [0.000, 2.000]","0.000 [0.000, 0.250]"
STABL ALasso,"0.456 [0.410, 0.499]","0.486 [0.423, 0.551]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.610 [0.534, 0.684]","0.624 [0.541, 0.719]","5.000 [3.000, 6.250]","0.200 [0.111, 0.300]"
