,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.632 [0.508, 0.741]","0.319 [0.212, 0.476]","3.000 [2.000, 4.000]","0.333 [0.111, 0.500]"
STABL ALasso,"0.604 [0.478, 0.727]","0.323 [0.219, 0.470]","2.000 [2.000, 4.000]","0.250 [0.000, 0.500]"
STABL XGBoost,"0.698 [0.593, 0.802]","0.362 [0.252, 0.536]","7.000 [5.000, 9.250]","0.200 [0.111, 0.303]"
