,Feature Name
Feature n°1,ACP5
Feature n°2,CCL20
Feature n°3,CCL7
Feature n°4,CDHR1
Feature n°5,CRTAC1
Feature n°6,DLL1
Feature n°7,FABP4
Feature n°8,FGF21
Feature n°9,GDF15
Feature n°10,MDGA1
Feature n°11,MUC13
Feature n°12,MZB1
Feature n°13,PON3
Feature n°14,SPINT1
Feature n°15,TDGF1
Feature n°16,THPO
Feature n°17,TLR3
Feature n°18,TNFRSF11A
