,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.424 [0.372, 0.480]","0.389 [0.320, 0.460]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.443 [0.399, 0.485]","0.390 [0.320, 0.464]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.328 [0.268, 0.396]","0.331 [0.272, 0.406]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
