,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.858 [0.754, 0.943]","0.808 [0.649, 0.926]","10.000 [6.000, 16.250]","0.200 [0.143, 0.278]"
STABL ALasso,"0.820 [0.710, 0.921]","0.749 [0.567, 0.902]","7.000 [5.000, 11.000]","0.267 [0.200, 0.333]"
STABL ElasticNet,"0.820 [0.719, 0.922]","0.749 [0.549, 0.886]","7.000 [5.000, 11.000]","0.267 [0.200, 0.333]"
