,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD4Tcm_CCR2pos_CD25_PI,0.238,0.173,0.109,0.052,0.01,0.0,0.0,0.0,0.0,0.0
NKT_CD25_PI,0.119,0.084,0.048,0.021,0.005,0.0,0.0,0.0,0.0,0.0
CD8Teff_HLADR_PI,0.263,0.212,0.134,0.045,0.003,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_HLADR_PI,0.409,0.42,0.463,0.451,0.251,0.009,0.0,0.0,0.0,0.0
cMCs_HLADR_PI,0.122,0.088,0.063,0.056,0.018,0.0,0.0,0.0,0.0,0.0
intMCs_HLADR_PI,0.05,0.033,0.022,0.018,0.008,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_PI,0.122,0.082,0.053,0.032,0.007,0.0,0.0,0.0,0.0,0.0
ncMCs_HLADR_PI,0.109,0.048,0.015,0.006,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_HLADR_PI,0.114,0.073,0.046,0.006,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_IkB_PI,0.056,0.014,0.007,0.004,0.003,0.0,0.0,0.0,0.0,0.0
intMCs_IkB_PI,0.211,0.129,0.036,0.005,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_IkB_PI,0.099,0.059,0.024,0.003,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pCREB_PI,0.071,0.012,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pCREB_PI,0.127,0.049,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pCREB_PI,0.049,0.014,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0
Granulocytes_pCREB_PI,0.021,0.012,0.009,0.007,0.004,0.0,0.0,0.0,0.0,0.0
MDSCs_pCREB_PI,0.297,0.258,0.13,0.052,0.016,0.001,0.0,0.0,0.0,0.0
cMCs_pCREB_PI,0.095,0.078,0.069,0.055,0.029,0.002,0.0,0.0,0.0,0.0
intMCs_pCREB_PI,0.014,0.007,0.007,0.012,0.011,0.001,0.0,0.0,0.0,0.0
mDCs_pCREB_PI,0.161,0.125,0.11,0.07,0.051,0.005,0.0,0.0,0.0,0.0
ncMCs_pCREB_PI,0.063,0.032,0.014,0.004,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pCREB_PI,0.067,0.037,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pERK_PI,0.118,0.074,0.034,0.002,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tem_pERK_PI,0.026,0.01,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pERK_PI,0.1,0.052,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pERK_PI,0.051,0.024,0.015,0.003,0.001,0.0,0.0,0.0,0.0,0.0
