,ROC AUC,Average Precision
STABL Lasso,"0.445 [0.395, 0.495]","0.385 [0.313, 0.456]"
STABL XGBoost,"0.573 [0.487, 0.657]","0.481 [0.379, 0.600]"
STABL ALasso,"0.487 [0.465, 0.500]","0.403 [0.339, 0.479]"
Union STABL Lasso & STABL XGBoost,"0.553 [0.465, 0.639]","0.470 [0.365, 0.591]"
Intersect STABL Lasso & STABL XGBoost,"0.471 [0.424, 0.513]","0.398 [0.326, 0.468]"
Union STABL Lasso & STABL ALasso,"0.438 [0.385, 0.490]","0.384 [0.318, 0.461]"
Intersect STABL Lasso & STABL ALasso,"0.487 [0.467, 0.500]","0.403 [0.335, 0.481]"
Union STABL XGBoost & STABL ALasso,"0.559 [0.469, 0.643]","0.469 [0.376, 0.596]"
Intersect STABL XGBoost & STABL ALasso,"0.487 [0.467, 0.500]","0.403 [0.332, 0.468]"
