,ROC AUC,Average Precision,N features
STABL ALasso,"0.525 [0.467, 0.602]","0.474 [0.375, 0.550]","2.000 [2.000, 2.000]"
STABL Lasso,"0.525 [0.467, 0.602]","0.474 [0.375, 0.550]","2.000 [2.000, 2.000]"
STABL XGBoost,"0.568 [0.477, 0.617]","0.460 [0.388, 0.566]","2.000 [2.000, 2.000]"
