,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.96,0.165,0.116,0.081,0.062,0.047,0.024,0.0,0.0,0.0,0.0
artificial.97,0.192,0.144,0.078,0.028,0.006,0.0,0.0,0.0,0.0,0.0
artificial.98,0.129,0.07,0.021,0.015,0.006,0.0,0.0,0.0,0.0,0.0
artificial.99,0.333,0.313,0.286,0.203,0.089,0.009,0.0,0.0,0.0,0.0
artificial.100,0.344,0.227,0.09,0.021,0.004,0.001,0.0,0.0,0.0,0.0
artificial.101,0.162,0.097,0.041,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.102,0.336,0.282,0.19,0.055,0.007,0.0,0.0,0.0,0.0,0.0
artificial.103,0.192,0.109,0.047,0.016,0.001,0.0,0.0,0.0,0.0,0.0
artificial.104,0.519,0.484,0.379,0.202,0.03,0.0,0.0,0.0,0.0,0.0
artificial.105,0.677,0.659,0.573,0.355,0.066,0.0,0.0,0.0,0.0,0.0
artificial.106,0.28,0.199,0.1,0.035,0.011,0.0,0.0,0.0,0.0,0.0
artificial.107,0.18,0.116,0.05,0.014,0.002,0.0,0.0,0.0,0.0,0.0
artificial.108,0.378,0.302,0.201,0.071,0.014,0.0,0.0,0.0,0.0,0.0
artificial.109,0.336,0.248,0.143,0.032,0.004,0.0,0.0,0.0,0.0,0.0
artificial.110,0.165,0.109,0.051,0.015,0.007,0.0,0.0,0.0,0.0,0.0
artificial.111,0.178,0.099,0.041,0.017,0.004,0.0,0.0,0.0,0.0,0.0
artificial.112,0.339,0.254,0.147,0.031,0.001,0.0,0.0,0.0,0.0,0.0
artificial.113,0.218,0.143,0.058,0.014,0.001,0.0,0.0,0.0,0.0,0.0
artificial.114,0.348,0.297,0.204,0.12,0.075,0.05,0.0,0.0,0.0,0.0
artificial.115,0.258,0.169,0.097,0.047,0.007,0.0,0.0,0.0,0.0,0.0
artificial.116,0.161,0.108,0.073,0.035,0.009,0.0,0.0,0.0,0.0,0.0
artificial.117,0.087,0.056,0.025,0.009,0.004,0.0,0.0,0.0,0.0,0.0
artificial.118,0.184,0.136,0.058,0.012,0.001,0.0,0.0,0.0,0.0,0.0
artificial.119,0.294,0.201,0.126,0.063,0.015,0.0,0.0,0.0,0.0,0.0
artificial.120,0.129,0.078,0.033,0.008,0.001,0.0,0.0,0.0,0.0,0.0
artificial.121,0.365,0.278,0.156,0.051,0.001,0.0,0.0,0.0,0.0,0.0
artificial.122,0.18,0.116,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.0
artificial.123,0.182,0.117,0.065,0.048,0.034,0.015,0.0,0.0,0.0,0.0
artificial.124,0.462,0.396,0.285,0.135,0.023,0.0,0.0,0.0,0.0,0.0
artificial.125,0.121,0.063,0.031,0.015,0.006,0.004,0.0,0.0,0.0,0.0
artificial.126,0.228,0.135,0.044,0.012,0.001,0.0,0.0,0.0,0.0,0.0
artificial.127,0.441,0.352,0.187,0.043,0.003,0.0,0.0,0.0,0.0,0.0
artificial.128,0.183,0.101,0.053,0.016,0.003,0.002,0.0,0.0,0.0,0.0
artificial.129,0.212,0.165,0.09,0.043,0.016,0.0,0.0,0.0,0.0,0.0
artificial.130,0.195,0.104,0.031,0.005,0.001,0.0,0.0,0.0,0.0,0.0
artificial.131,0.199,0.129,0.078,0.029,0.004,0.001,0.0,0.0,0.0,0.0
artificial.132,0.254,0.158,0.069,0.03,0.013,0.002,0.0,0.0,0.0,0.0
artificial.133,0.131,0.077,0.037,0.006,0.001,0.0,0.0,0.0,0.0,0.0
artificial.134,0.269,0.17,0.094,0.045,0.007,0.0,0.0,0.0,0.0,0.0
