,Feature Name
Feature n°1,CD4_T_cells_CD80_CD86+_stromal_GranzymeB
Feature n°2,CD8_T_cells_CD80_CD86+_glandfront_VEGF
Feature n°3,Stroma_fibroblast_stromal_GranzymeB
Feature n°4,NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB
Feature n°5,Macrophages_M2-like_stromal_GranzymeB
Feature n°6,Macrophages_M1_M2_stromal_GranzymeB
Feature n°7,Dendritic_Cells_CD33+_stromal_GranzymeB
Feature n°8,Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB
Feature n°9,Dendritic_Cells_CD209CD86dp_stromal_GranzymeB
Feature n°10,Dendritic_Cells_CD86CD33dp_stromal_GranzymeB
Feature n°11,aSMA-br_fibroblast_glandfront_GranzymeB
