,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.398 [0.276, 0.518]","0.196 [0.133, 0.291]","3.000 [0.000, 9.000]","0.000 [0.000, 0.114]"
STABL ALasso,"0.400 [0.266, 0.534]","0.207 [0.135, 0.295]","3.000 [0.000, 7.250]","0.000 [0.000, 0.091]"
STABL XGBoost,"0.453 [0.326, 0.579]","0.242 [0.160, 0.371]","4.500 [2.000, 7.000]","0.154 [0.000, 0.286]"
