,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.90,0.243,0.153,0.074,0.016,0.002,0.0,0.0,0.0,0.0,0.0
artificial.91,0.238,0.171,0.092,0.031,0.011,0.0,0.0,0.0,0.0,0.0
artificial.92,0.378,0.332,0.261,0.145,0.039,0.001,0.0,0.0,0.0,0.0
artificial.93,0.246,0.174,0.106,0.055,0.01,0.004,0.0,0.0,0.0,0.0
artificial.94,0.255,0.152,0.06,0.012,0.0,0.0,0.0,0.0,0.0,0.0
artificial.95,0.455,0.374,0.232,0.051,0.001,0.0,0.0,0.0,0.0,0.0
artificial.96,0.448,0.357,0.239,0.097,0.005,0.0,0.0,0.0,0.0,0.0
artificial.97,0.217,0.157,0.099,0.033,0.001,0.0,0.0,0.0,0.0,0.0
artificial.98,0.428,0.313,0.193,0.048,0.003,0.0,0.0,0.0,0.0,0.0
artificial.99,0.479,0.408,0.28,0.091,0.004,0.0,0.0,0.0,0.0,0.0
artificial.100,0.324,0.275,0.197,0.093,0.01,0.0,0.0,0.0,0.0,0.0
artificial.101,0.206,0.139,0.06,0.013,0.001,0.0,0.0,0.0,0.0,0.0
artificial.102,0.132,0.086,0.025,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.103,0.168,0.108,0.049,0.012,0.001,0.0,0.0,0.0,0.0,0.0
artificial.104,0.181,0.115,0.071,0.027,0.002,0.002,0.0,0.0,0.0,0.0
artificial.105,0.236,0.158,0.074,0.037,0.01,0.003,0.0,0.0,0.0,0.0
artificial.106,0.234,0.185,0.118,0.046,0.003,0.0,0.0,0.0,0.0,0.0
artificial.107,0.194,0.146,0.087,0.036,0.008,0.001,0.0,0.0,0.0,0.0
artificial.108,0.178,0.1,0.038,0.003,0.0,0.0,0.0,0.0,0.0,0.0
artificial.109,0.386,0.322,0.23,0.101,0.009,0.0,0.0,0.0,0.0,0.0
artificial.110,0.48,0.434,0.341,0.18,0.097,0.018,0.0,0.0,0.0,0.0
artificial.111,0.291,0.247,0.153,0.069,0.016,0.006,0.0,0.0,0.0,0.0
artificial.112,0.727,0.701,0.631,0.448,0.192,0.039,0.0,0.0,0.0,0.0
artificial.113,0.418,0.376,0.311,0.19,0.065,0.002,0.0,0.0,0.0,0.0
