,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.466 [0.377, 0.558]","0.397 [0.320, 0.502]","17.500 [5.750, 55.500]","0.094 [0.040, 0.167]"
STABL ALasso,"0.450 [0.362, 0.542]","0.384 [0.311, 0.487]","19.000 [7.000, 54.250]","0.095 [0.042, 0.171]"
STABL XGBoost,"0.481 [0.456, 0.500]","0.400 [0.330, 0.468]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
