,ROC AUC,Average Precision
STABL Lasso,"0.619 [0.445, 0.776]","0.287 [0.144, 0.541]"
STABL ALasso,"0.577 [0.410, 0.743]","0.297 [0.140, 0.525]"
STABL ElasticNet,"0.593 [0.431, 0.757]","0.315 [0.150, 0.533]"
Union STABL Lasso & STABL ALasso,"0.624 [0.468, 0.772]","0.311 [0.151, 0.516]"
Intersect STABL Lasso & STABL ALasso,"0.586 [0.441, 0.745]","0.258 [0.133, 0.466]"
Union STABL Lasso & STABL ElasticNet,"0.638 [0.483, 0.788]","0.283 [0.159, 0.520]"
Intersect STABL Lasso & STABL ElasticNet,"0.600 [0.433, 0.769]","0.299 [0.151, 0.502]"
Union STABL ALasso & STABL ElasticNet,"0.638 [0.484, 0.782]","0.325 [0.150, 0.544]"
Intersect STABL ALasso & STABL ElasticNet,"0.573 [0.414, 0.739]","0.277 [0.130, 0.475]"
