,ROC AUC,Average Precision,N features
STABL ALasso,"0.642 [0.568, 0.722]","0.544 [0.450, 0.660]","3.000 [3.000, 3.000]"
STABL Lasso,"0.634 [0.556, 0.725]","0.555 [0.465, 0.656]","5.000 [5.000, 5.000]"
STABL XGBoost,"0.571 [0.480, 0.652]","0.557 [0.450, 0.677]","4.000 [4.000, 4.000]"
