,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.454 [0.410, 0.494]","0.390 [0.315, 0.462]","0.000 [0.000, 2.000]","0.000 [0.000, 0.000]"
STABL ALasso,"0.494 [0.478, 0.500]","0.406 [0.335, 0.481]","0.000 [0.000, 1.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.568 [0.474, 0.655]","0.473 [0.376, 0.597]","5.000 [3.000, 8.000]","0.211 [0.125, 0.333]"
