,STABL Lasso,STABL ALasso,STABL ElasticNet
STABL Lasso,1.0,0.19170368444650587,0.19170368444650587
STABL ALasso,0.19170368444650587,1.0,1.0
STABL ElasticNet,0.19170368444650587,1.0,1.0
