,Feature Name
Feature n°1,Stroma_vascular_endothelium_stromal_area
Feature n°2,Stroma_fibroblast_glandfront_area
Feature n°3,Stroma_fibroblast_stromal_area
Feature n°4,NK_cells_CD56brCD16-CD9hi_stromal_area
Feature n°5,Macrophages_M1_M2_stromal_area
Feature n°6,NKT_glandfront_area
Feature n°7,aSMA-br_fibroblast_stromal_area
Feature n°8,aSMA-br_vascular_endothelium_glandfront_area
Feature n°9,CD8_T_cells_CD80_CD86+_stromal_eccentricity
Feature n°10,Gland_mesenchymal_intragland_eccentricity
Feature n°11,Macrophages_M2-like_glandfront_celldistance
