,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.461 [0.394, 0.534]","0.482 [0.414, 0.563]","2.000 [0.000, 4.000]","0.000 [0.000, 0.071]"
STABL ALasso,"0.436 [0.384, 0.495]","0.474 [0.409, 0.548]","1.000 [0.000, 3.000]","0.000 [0.000, 0.000]"
STABL XGBoost,"0.502 [0.431, 0.575]","0.491 [0.420, 0.586]","3.000 [1.000, 4.250]","0.000 [0.000, 0.250]"
