,"{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.5}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.7}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.9}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.5}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.7}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.9}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(10.0), 'l1_ratio': 0.5}","{'alpha': np.float64(10.0), 'l1_ratio': 0.7}","{'alpha': np.float64(10.0), 'l1_ratio': 0.9}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.5}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.7}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.9}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.5}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.7}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.9}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.5}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.7}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.9}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.5}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.7}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.9}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(100.0), 'l1_ratio': 0.5}","{'alpha': np.float64(100.0), 'l1_ratio': 0.7}","{'alpha': np.float64(100.0), 'l1_ratio': 0.9}"
artificial.1,0.476,0.33,0.174,0.447,0.283,0.137,0.417,0.221,0.098,0.315,0.139,0.048,0.172,0.036,0.003,0.031,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.482,0.3,0.198,0.342,0.191,0.094,0.225,0.118,0.039,0.16,0.076,0.027,0.115,0.04,0.002,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.556,0.395,0.256,0.478,0.313,0.186,0.41,0.245,0.13,0.321,0.153,0.049,0.172,0.033,0.003,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.813,0.722,0.571,0.737,0.591,0.4,0.595,0.33,0.144,0.309,0.077,0.015,0.06,0.006,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.429,0.243,0.127,0.255,0.116,0.043,0.116,0.034,0.007,0.037,0.01,0.004,0.011,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.413,0.254,0.145,0.245,0.117,0.044,0.116,0.025,0.005,0.028,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.402,0.247,0.134,0.304,0.168,0.074,0.238,0.119,0.046,0.173,0.056,0.015,0.065,0.01,0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.46,0.285,0.144,0.303,0.15,0.064,0.167,0.05,0.009,0.042,0.006,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.303,0.17,0.096,0.184,0.089,0.041,0.09,0.038,0.01,0.049,0.012,0.002,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.10,0.473,0.307,0.173,0.335,0.193,0.076,0.204,0.057,0.014,0.053,0.008,0.002,0.008,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.362,0.208,0.098,0.23,0.099,0.029,0.118,0.026,0.007,0.034,0.006,0.001,0.012,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.351,0.205,0.106,0.229,0.114,0.038,0.119,0.035,0.005,0.037,0.006,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.732,0.59,0.461,0.585,0.415,0.284,0.395,0.212,0.089,0.219,0.077,0.025,0.081,0.018,0.003,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.717,0.594,0.438,0.678,0.54,0.364,0.603,0.434,0.249,0.505,0.293,0.12,0.334,0.121,0.035,0.115,0.013,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.8,0.643,0.454,0.688,0.452,0.265,0.455,0.231,0.084,0.205,0.066,0.025,0.063,0.009,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.395,0.234,0.11,0.306,0.157,0.067,0.23,0.121,0.056,0.191,0.1,0.031,0.142,0.046,0.008,0.053,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.333,0.16,0.064,0.204,0.074,0.017,0.103,0.027,0.004,0.04,0.005,0.001,0.01,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.412,0.245,0.108,0.258,0.091,0.034,0.099,0.024,0.001,0.024,0.002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.66,0.489,0.294,0.496,0.279,0.141,0.265,0.108,0.029,0.09,0.014,0.001,0.011,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.331,0.184,0.094,0.182,0.067,0.026,0.1,0.038,0.012,0.064,0.018,0.003,0.017,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.336,0.171,0.06,0.196,0.062,0.02,0.071,0.021,0.005,0.028,0.006,0.001,0.01,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.428,0.281,0.16,0.287,0.149,0.051,0.154,0.032,0.003,0.033,0.005,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.334,0.19,0.091,0.217,0.105,0.042,0.148,0.065,0.018,0.104,0.038,0.012,0.058,0.01,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.597,0.478,0.342,0.463,0.285,0.176,0.295,0.157,0.084,0.181,0.093,0.041,0.108,0.043,0.011,0.045,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.503,0.354,0.235,0.411,0.276,0.151,0.316,0.185,0.075,0.213,0.073,0.019,0.075,0.008,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.397,0.229,0.111,0.257,0.114,0.039,0.135,0.042,0.013,0.068,0.018,0.007,0.029,0.007,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.334,0.205,0.106,0.238,0.124,0.062,0.155,0.071,0.032,0.109,0.055,0.011,0.077,0.012,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.564,0.415,0.257,0.444,0.256,0.128,0.268,0.113,0.036,0.106,0.03,0.005,0.025,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.469,0.307,0.182,0.329,0.186,0.096,0.194,0.07,0.019,0.064,0.008,0.002,0.008,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
