,ROC AUC,Average Precision
STABL Lasso,"0.820 [0.757, 0.881]","0.891 [0.839, 0.937]"
STABL ALasso,"0.800 [0.728, 0.864]","0.875 [0.815, 0.926]"
STABL ElasticNet,"0.854 [0.791, 0.911]","0.901 [0.843, 0.947]"
Union STABL Lasso & STABL ALasso,"0.832 [0.765, 0.887]","0.894 [0.840, 0.937]"
Intersect STABL Lasso & STABL ALasso,"0.762 [0.686, 0.833]","0.854 [0.787, 0.910]"
Union STABL Lasso & STABL ElasticNet,"0.850 [0.792, 0.909]","0.901 [0.846, 0.950]"
Intersect STABL Lasso & STABL ElasticNet,"0.819 [0.751, 0.880]","0.890 [0.836, 0.932]"
Union STABL ALasso & STABL ElasticNet,"0.852 [0.791, 0.907]","0.902 [0.846, 0.945]"
Intersect STABL ALasso & STABL ElasticNet,"0.762 [0.685, 0.835]","0.855 [0.788, 0.907]"
