,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.833 [0.726, 0.938]","0.782 [0.616, 0.908]","7.000 [4.000, 13.250]","0.143 [0.074, 0.231]"
STABL ALasso,"0.820 [0.698, 0.920]","0.759 [0.592, 0.892]","7.500 [5.000, 14.250]","0.190 [0.118, 0.273]"
STABL ElasticNet,"0.820 [0.701, 0.920]","0.759 [0.594, 0.896]","7.500 [5.000, 14.250]","0.190 [0.118, 0.273]"
