,"{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.5}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.7}","{'alpha': np.float64(3.1622776601683795), 'l1_ratio': 0.9}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.5}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.7}","{'alpha': np.float64(4.641588833612778), 'l1_ratio': 0.9}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(6.812920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(10.0), 'l1_ratio': 0.5}","{'alpha': np.float64(10.0), 'l1_ratio': 0.7}","{'alpha': np.float64(10.0), 'l1_ratio': 0.9}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.5}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.7}","{'alpha': np.float64(14.67799267622069), 'l1_ratio': 0.9}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.5}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.7}","{'alpha': np.float64(21.544346900318832), 'l1_ratio': 0.9}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.5}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.7}","{'alpha': np.float64(31.622776601683793), 'l1_ratio': 0.9}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.5}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.7}","{'alpha': np.float64(46.41588833612777), 'l1_ratio': 0.9}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.5}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.7}","{'alpha': np.float64(68.12920690579611), 'l1_ratio': 0.9}","{'alpha': np.float64(100.0), 'l1_ratio': 0.5}","{'alpha': np.float64(100.0), 'l1_ratio': 0.7}","{'alpha': np.float64(100.0), 'l1_ratio': 0.9}"
artificial.1,0.434,0.298,0.174,0.278,0.132,0.044,0.122,0.035,0.007,0.041,0.005,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.2,0.063,0.007,0.122,0.025,0.002,0.081,0.014,0.0,0.048,0.007,0.0,0.027,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.16,0.051,0.005,0.111,0.023,0.0,0.089,0.012,0.0,0.077,0.008,0.0,0.048,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.346,0.19,0.101,0.214,0.104,0.04,0.107,0.039,0.009,0.041,0.008,0.002,0.008,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.399,0.182,0.009,0.387,0.181,0.009,0.362,0.15,0.009,0.281,0.104,0.004,0.153,0.029,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.444,0.291,0.162,0.282,0.141,0.046,0.146,0.028,0.003,0.031,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.845,0.763,0.639,0.806,0.691,0.55,0.739,0.579,0.379,0.603,0.363,0.173,0.352,0.108,0.018,0.086,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.464,0.297,0.142,0.403,0.224,0.091,0.326,0.153,0.048,0.213,0.061,0.01,0.069,0.005,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.604,0.463,0.311,0.558,0.39,0.239,0.485,0.306,0.151,0.346,0.153,0.043,0.157,0.026,0.003,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.10,0.548,0.281,0.11,0.386,0.177,0.052,0.256,0.095,0.016,0.135,0.029,0.001,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.737,0.62,0.487,0.647,0.498,0.368,0.524,0.35,0.19,0.354,0.159,0.059,0.153,0.034,0.001,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.397,0.223,0.108,0.284,0.136,0.039,0.203,0.079,0.014,0.124,0.022,0.004,0.028,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.782,0.63,0.414,0.773,0.598,0.371,0.736,0.541,0.296,0.621,0.35,0.129,0.365,0.082,0.006,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.49,0.338,0.204,0.292,0.145,0.063,0.121,0.033,0.005,0.029,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.916,0.851,0.781,0.855,0.76,0.644,0.773,0.651,0.49,0.675,0.468,0.258,0.459,0.21,0.052,0.184,0.014,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.217,0.098,0.027,0.137,0.052,0.005,0.08,0.017,0.0,0.045,0.008,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.373,0.214,0.107,0.229,0.108,0.027,0.126,0.035,0.007,0.049,0.007,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.271,0.119,0.023,0.133,0.048,0.002,0.056,0.003,0.0,0.003,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.61,0.466,0.323,0.503,0.341,0.187,0.373,0.189,0.068,0.199,0.05,0.006,0.045,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.454,0.279,0.129,0.35,0.181,0.068,0.223,0.093,0.032,0.121,0.036,0.004,0.038,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
