,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.109,0.06,0.015,0.005,0.002,0.001,0.0,0.0,0.0,0.0
artificial.2,0.432,0.353,0.235,0.141,0.047,0.001,0.0,0.0,0.0,0.0
artificial.3,0.119,0.067,0.027,0.011,0.003,0.0,0.0,0.0,0.0,0.0
artificial.4,0.314,0.237,0.148,0.078,0.039,0.013,0.0,0.0,0.0,0.0
artificial.5,0.131,0.075,0.042,0.022,0.003,0.0,0.0,0.0,0.0,0.0
artificial.6,0.139,0.077,0.016,0.003,0.001,0.0,0.0,0.0,0.0,0.0
artificial.7,0.189,0.112,0.048,0.01,0.004,0.0,0.0,0.0,0.0,0.0
artificial.8,0.338,0.24,0.125,0.034,0.002,0.0,0.0,0.0,0.0,0.0
artificial.9,0.157,0.077,0.033,0.005,0.002,0.001,0.0,0.0,0.0,0.0
artificial.10,0.387,0.255,0.101,0.006,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.478,0.42,0.33,0.197,0.067,0.001,0.0,0.0,0.0,0.0
artificial.12,0.35,0.268,0.144,0.033,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.455,0.354,0.203,0.041,0.001,0.0,0.0,0.0,0.0,0.0
artificial.14,0.219,0.145,0.067,0.012,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.168,0.106,0.048,0.012,0.002,0.0,0.0,0.0,0.0,0.0
artificial.16,0.214,0.147,0.065,0.022,0.005,0.0,0.0,0.0,0.0,0.0
artificial.17,0.236,0.178,0.135,0.083,0.036,0.007,0.0,0.0,0.0,0.0
artificial.18,0.417,0.365,0.291,0.179,0.077,0.004,0.0,0.0,0.0,0.0
artificial.19,0.333,0.261,0.167,0.057,0.001,0.0,0.0,0.0,0.0,0.0
artificial.20,0.113,0.062,0.019,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.153,0.099,0.042,0.01,0.001,0.0,0.0,0.0,0.0,0.0
artificial.22,0.367,0.298,0.188,0.097,0.041,0.013,0.0,0.0,0.0,0.0
artificial.23,0.441,0.402,0.337,0.263,0.202,0.031,0.0,0.0,0.0,0.0
artificial.24,0.095,0.065,0.026,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.239,0.151,0.066,0.009,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.601,0.54,0.399,0.132,0.006,0.0,0.0,0.0,0.0,0.0
