,ROC AUC,Average Precision,N features,CVS
STABL Lasso,"0.589 [0.456, 0.725]","0.255 [0.130, 0.428]","38.000 [30.000, 48.000]","0.250 [0.203, 0.302]"
STABL Alasso,"0.500 [0.500, 0.500]","0.172 [0.097, 0.258]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
STABL ElasticNet,"0.562 [0.432, 0.684]","0.188 [0.117, 0.325]","165.000 [87.250, 252.750]","0.137 [0.070, 0.251]"
STABL XGBoost,"0.571 [0.441, 0.703]","0.203 [0.120, 0.376]","8.000 [6.000, 11.000]","0.125 [0.067, 0.200]"
