,ROC AUC,Average Precision
STABL Lasso,"0.477 [0.397, 0.567]","0.402 [0.326, 0.510]"
STABL XGBoost,"0.474 [0.447, 0.494]","0.397 [0.327, 0.468]"
STABL ALasso,"0.474 [0.382, 0.559]","0.408 [0.325, 0.513]"
Union STABL Lasso & STABL XGBoost,"0.468 [0.382, 0.556]","0.394 [0.315, 0.501]"
Intersect STABL Lasso & STABL XGBoost,"0.500 [0.500, 0.500]","0.410 [0.340, 0.479]"
Union STABL Lasso & STABL ALasso,"0.481 [0.391, 0.569]","0.401 [0.324, 0.509]"
Intersect STABL Lasso & STABL ALasso,"0.473 [0.383, 0.564]","0.412 [0.328, 0.520]"
Union STABL XGBoost & STABL ALasso,"0.472 [0.389, 0.553]","0.401 [0.326, 0.512]"
Intersect STABL XGBoost & STABL ALasso,"0.500 [0.500, 0.500]","0.410 [0.340, 0.484]"
